model,trade_date,symbol,shares,close,market_value
m4,2025-03-19,SH518880,1813300,6.8,12330440.0
m4,2025-03-20,SH518880,1813300,6.807,12343133.100000001
m4,2025-03-21,SH518880,1813300,6.774,12283294.2
m4,2025-03-24,SH518880,1813300,6.78,12294174.0
m4,2025-03-25,SH518880,1813300,6.774,12283294.2
m4,2025-03-26,SH518880,1813300,6.795,12321373.5
m4,2025-03-27,SH518880,1813300,6.812,12352199.6
m4,2025-03-28,SH518880,1813300,6.938,12580675.4
m4,2025-03-31,SH518880,1813300,7.012,12714859.6
m4,2025-04-01,SH518880,1813300,7.056,12794644.8
m4,2025-04-02,SH518880,1813300,7.029,12745685.7
m4,2025-04-03,SH518880,1813300,7.094,12863550.200000001
m4,2025-04-07,SH518880,1813300,6.877,12470064.1
m4,2025-04-08,SH518880,1813300,6.925,12557102.5
m4,2025-04-09,SH518880,1813300,7.012,12714859.6
m4,2025-04-10,SH518880,1813300,7.164,12990481.2
m4,2025-04-11,SH518880,1813300,7.273,13188130.899999999
m4,2025-04-14,SH518880,1813300,7.327,13286049.1
m4,2025-04-15,SH518880,1813300,7.325,13282422.5
m4,2025-04-16,SH518880,1813300,7.503,13605189.9
m4,2025-04-17,SH518880,1813300,7.565,13717614.5
m4,2025-04-18,SH518880,1813300,7.583,13750253.9
m4,2025-04-21,SH518880,1813300,7.724,14005929.200000001
m4,2025-04-22,SH518880,1813300,7.982,14473760.6
m4,2025-04-23,SH518880,1813300,7.5,13599750.0
m4,2025-04-24,SH518880,1813300,7.582,13748440.6
m4,2025-04-25,SH518880,1813300,7.53,13654149.0
m4,2025-04-28,SH518880,1813300,7.465,13536284.5
m4,2025-04-29,SH518880,1813300,7.517,13630576.100000001
m4,2025-04-30,SH518880,1813300,7.471,13547164.3
m4,2025-05-06,SH518880,1813300,7.612,13802839.6
m4,2025-05-07,SH518880,1813300,7.671,13909824.3
m4,2025-05-08,SH518880,1813300,7.557,13703108.100000001
m4,2025-05-09,SH518880,1813300,7.531,13655962.299999999
m4,2025-05-12,SH518880,1813300,7.376,13374900.8
m4,2025-05-13,SH518880,1813300,7.332,13295115.6
m4,2025-05-14,SH518880,1813300,7.277,13195384.1
