symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SZ159326,-14759.972899999997,-0.024809679695757935,5,0.3299362684613689,0.3322435296617877,0.0005874933555223805,0.0
SZ159852,-15033.6026,-0.014932017574610278,15,0.3329787186310911,0.3396182669438094,0.0017787324713199309,0.0
SH515400,-15115.15540000001,-0.02577970470458772,20,0.3384565444016652,0.3549394768388591,0.0024106591481600085,0.0
SH510900,-15525.944677192954,-0.060078163912879616,110,0.3438168372665446,0.5010240846663401,0.0134686082974786,0.0
SH513520,-16162.418199999951,0.003321882992267801,115,0.3622768672182132,0.6929091786534907,0.014836837510717422,0.0
SZ159732,-18310.62600000002,-0.028440248134669503,5,0.3282351023288922,0.33225559344064304,0.0005844642135485971,0.0
SH511880,-18400.597710063324,-0.05042420831753046,380,0.9828558627480407,0.9998053932826932,0.13300755977359524,0.0
SH510660,-18516.623599999988,-0.050728818573789344,30,0.27718817459029677,0.3437004336160539,0.002961412121691205,0.0
SZ159768,-18810.125999999982,-0.051055559435862236,15,0.3320117616156765,0.34276402323862537,0.0017735671026478446,0.0
SZ159636,-19815.353200000016,-0.03773158224206508,25,0.3347496009564294,0.33932193766975677,0.002980320521335732,0.0
SH588780,-20508.970999999958,-0.03356898519077292,10,0.3309220974416777,0.3348772715219564,0.0011784974980116728,0.0
SH512580,-20657.753199999974,-0.05519711752072871,40,0.32081991300453727,0.3373008233462718,0.0045700842308338645,0.0
SZ159667,-21771.190300000006,-0.030509280219792174,10,0.32480207709808934,0.3353110828024629,0.0011567025537681244,0.0
SH510300,-22131.44113240873,-0.0798353223243367,50,0.33614823881485356,0.3771794890961763,0.0059855455629425494,0.0
SH562800,-22333.316000000006,-0.028146357239861503,40,0.3388521370624291,0.3696395967134427,0.0048269535194078225,0.0
SH515980,-23218.9374,-0.045467302648054264,10,0.332662150504565,0.3344446748707744,0.0011846942681786503,0.0
SH512690,-23819.319299999992,-0.06245983311907568,50,0.34947703251861667,0.5265402604084315,0.006222881633166252,0.0
SH513030,-24422.298800000008,-0.04548774019511627,210,0.35702322789204205,0.9997483500386862,0.02670045507739631,0.0
SH515250,-26623.558599999982,-0.06062074876261494,20,0.32645343388878767,0.3389494904408328,0.0023251669080397983,0.0
SH512010,-26791.27290000001,-0.06903820571593569,45,0.3310426765465659,0.34273096650944923,0.005305171098502658,0.0
SH512720,-28508.718463854922,-0.05161555669269519,20,0.32857129640981675,0.3371005818224101,0.0023402513989303187,0.0
SH513400,-30909.817399999993,-0.04267879152238887,25,0.5009035089105168,0.9999667234923454,0.004459611012379958,0.0
SZ159998,-34164.46030000003,-0.059447555429190516,15,0.32748038672284724,0.33384476231544785,0.0017493610401861498,0.0
SH512170,-34807.951000000015,-0.09055854653119665,70,0.3307920039794635,0.3410766172284008,0.008246239415442466,0.0
SZ159980,-37687.45100000005,-0.09810958426519562,155,0.5598331950106155,0.9998973348215149,0.030902473371312467,0.0
SH513310,-39139.84859999994,-0.030160176366342818,75,0.33536717022417883,0.35686557093796106,0.008957456469662896,0.0
SZ159518,-39775.57599999997,-0.11156281019321687,45,0.382163544294402,0.6495466545088479,0.00612441577394875,0.0
SZ159567,-45251.79230000001,-0.08791894578181855,15,0.3219755582587254,0.3309706557800309,0.001719954905228234,0.0
